Chrom	Source	Feature	Start	End	Score	Strand	Frame	Attribute	Gene
NC_060933.1	BestRefSeq	gene	140512261	140529549	.	-	.	ID=gene-TRUB2;Dbxref=GeneID:26995,HGNC:HGNC:17170,MIM:610727;Name=TRUB2;description=TruB pseudouridine synthase family member 2;gbkey=Gene;gene=TRUB2;gene_biotype=protein_coding;gene_synonym=CLONE24922	TRUB2
NC_060933.1	BestRefSeq	exon	140529402	140529549	.	-	.	ID=exon-NM_001329861.2-1;Parent=rna-NM_001329861.2;Dbxref=GeneID:26995,Genbank:NM_001329861.2,HGNC:HGNC:17170,MIM:610727;gbkey=mRNA;gene=TRUB2;product=TruB pseudouridine synthase family member 2%2C transcript variant 2;transcript_id=NM_001329861.2	TRUB2
NC_060933.1	BestRefSeq	exon	140524254	140524328	.	-	.	ID=exon-NM_001329861.2-2;Parent=rna-NM_001329861.2;Dbxref=GeneID:26995,Genbank:NM_001329861.2,HGNC:HGNC:17170,MIM:610727;gbkey=mRNA;gene=TRUB2;product=TruB pseudouridine synthase family member 2%2C transcript variant 2;transcript_id=NM_001329861.2	TRUB2
NC_060933.1	BestRefSeq	exon	140522669	140522730	.	-	.	ID=exon-NM_001329861.2-3;Parent=rna-NM_001329861.2;Dbxref=GeneID:26995,Genbank:NM_001329861.2,HGNC:HGNC:17170,MIM:610727;gbkey=mRNA;gene=TRUB2;product=TruB pseudouridine synthase family member 2%2C transcript variant 2;transcript_id=NM_001329861.2	TRUB2
NC_060933.1	BestRefSeq	exon	140520910	140520991	.	-	.	ID=exon-NM_001329861.2-4;Parent=rna-NM_001329861.2;Dbxref=GeneID:26995,Genbank:NM_001329861.2,HGNC:HGNC:17170,MIM:610727;gbkey=mRNA;gene=TRUB2;product=TruB pseudouridine synthase family member 2%2C transcript variant 2;transcript_id=NM_001329861.2	TRUB2
NC_060933.1	BestRefSeq	exon	140518631	140518703	.	-	.	ID=exon-NM_001329861.2-5;Parent=rna-NM_001329861.2;Dbxref=GeneID:26995,Genbank:NM_001329861.2,HGNC:HGNC:17170,MIM:610727;gbkey=mRNA;gene=TRUB2;product=TruB pseudouridine synthase family member 2%2C transcript variant 2;transcript_id=NM_001329861.2	TRUB2
NC_060933.1	BestRefSeq	exon	140517989	140518125	.	-	.	ID=exon-NM_001329861.2-6;Parent=rna-NM_001329861.2;Dbxref=GeneID:26995,Genbank:NM_001329861.2,HGNC:HGNC:17170,MIM:610727;gbkey=mRNA;gene=TRUB2;product=TruB pseudouridine synthase family member 2%2C transcript variant 2;transcript_id=NM_001329861.2	TRUB2
NC_060933.1	BestRefSeq	exon	140512261	140516977	.	-	.	ID=exon-NM_001329861.2-7;Parent=rna-NM_001329861.2;Dbxref=GeneID:26995,Genbank:NM_001329861.2,HGNC:HGNC:17170,MIM:610727;gbkey=mRNA;gene=TRUB2;product=TruB pseudouridine synthase family member 2%2C transcript variant 2;transcript_id=NM_001329861.2	TRUB2
NC_060933.1	BestRefSeq	exon	140529402	140529549	.	-	.	ID=exon-NM_015679.3-1;Parent=rna-NM_015679.3;Dbxref=GeneID:26995,Genbank:NM_015679.3,HGNC:HGNC:17170,MIM:610727;gbkey=mRNA;gene=TRUB2;product=TruB pseudouridine synthase family member 2%2C transcript variant 1;tag=RefSeq Select;transcript_id=NM_015679.3	TRUB2
NC_060933.1	BestRefSeq	exon	140528701	140528832	.	-	.	ID=exon-NM_015679.3-2;Parent=rna-NM_015679.3;Dbxref=GeneID:26995,Genbank:NM_015679.3,HGNC:HGNC:17170,MIM:610727;gbkey=mRNA;gene=TRUB2;product=TruB pseudouridine synthase family member 2%2C transcript variant 1;tag=RefSeq Select;transcript_id=NM_015679.3	TRUB2
NC_060933.1	BestRefSeq	exon	140524254	140524328	.	-	.	ID=exon-NM_015679.3-3;Parent=rna-NM_015679.3;Dbxref=GeneID:26995,Genbank:NM_015679.3,HGNC:HGNC:17170,MIM:610727;gbkey=mRNA;gene=TRUB2;product=TruB pseudouridine synthase family member 2%2C transcript variant 1;tag=RefSeq Select;transcript_id=NM_015679.3	TRUB2
NC_060933.1	BestRefSeq	exon	140522669	140522730	.	-	.	ID=exon-NM_015679.3-4;Parent=rna-NM_015679.3;Dbxref=GeneID:26995,Genbank:NM_015679.3,HGNC:HGNC:17170,MIM:610727;gbkey=mRNA;gene=TRUB2;product=TruB pseudouridine synthase family member 2%2C transcript variant 1;tag=RefSeq Select;transcript_id=NM_015679.3	TRUB2
NC_060933.1	BestRefSeq	exon	140520910	140520991	.	-	.	ID=exon-NM_015679.3-5;Parent=rna-NM_015679.3;Dbxref=GeneID:26995,Genbank:NM_015679.3,HGNC:HGNC:17170,MIM:610727;gbkey=mRNA;gene=TRUB2;product=TruB pseudouridine synthase family member 2%2C transcript variant 1;tag=RefSeq Select;transcript_id=NM_015679.3	TRUB2
NC_060933.1	BestRefSeq	exon	140518631	140518703	.	-	.	ID=exon-NM_015679.3-6;Parent=rna-NM_015679.3;Dbxref=GeneID:26995,Genbank:NM_015679.3,HGNC:HGNC:17170,MIM:610727;gbkey=mRNA;gene=TRUB2;product=TruB pseudouridine synthase family member 2%2C transcript variant 1;tag=RefSeq Select;transcript_id=NM_015679.3	TRUB2
NC_060933.1	BestRefSeq	exon	140517989	140518125	.	-	.	ID=exon-NM_015679.3-7;Parent=rna-NM_015679.3;Dbxref=GeneID:26995,Genbank:NM_015679.3,HGNC:HGNC:17170,MIM:610727;gbkey=mRNA;gene=TRUB2;product=TruB pseudouridine synthase family member 2%2C transcript variant 1;tag=RefSeq Select;transcript_id=NM_015679.3	TRUB2
NC_060933.1	BestRefSeq	exon	140512261	140516977	.	-	.	ID=exon-NM_015679.3-8;Parent=rna-NM_015679.3;Dbxref=GeneID:26995,Genbank:NM_015679.3,HGNC:HGNC:17170,MIM:610727;gbkey=mRNA;gene=TRUB2;product=TruB pseudouridine synthase family member 2%2C transcript variant 1;tag=RefSeq Select;transcript_id=NM_015679.3	TRUB2
NC_060933.1	BestRefSeq	exon	140529402	140529549	.	-	.	ID=exon-NM_001329863.2-1;Parent=rna-NM_001329863.2;Dbxref=GeneID:26995,Genbank:NM_001329863.2,HGNC:HGNC:17170,MIM:610727;gbkey=mRNA;gene=TRUB2;product=TruB pseudouridine synthase family member 2%2C transcript variant 4;transcript_id=NM_001329863.2	TRUB2
NC_060933.1	BestRefSeq	exon	140528701	140528832	.	-	.	ID=exon-NM_001329863.2-2;Parent=rna-NM_001329863.2;Dbxref=GeneID:26995,Genbank:NM_001329863.2,HGNC:HGNC:17170,MIM:610727;gbkey=mRNA;gene=TRUB2;product=TruB pseudouridine synthase family member 2%2C transcript variant 4;transcript_id=NM_001329863.2	TRUB2
NC_060933.1	BestRefSeq	exon	140524254	140524328	.	-	.	ID=exon-NM_001329863.2-3;Parent=rna-NM_001329863.2;Dbxref=GeneID:26995,Genbank:NM_001329863.2,HGNC:HGNC:17170,MIM:610727;gbkey=mRNA;gene=TRUB2;product=TruB pseudouridine synthase family member 2%2C transcript variant 4;transcript_id=NM_001329863.2	TRUB2
NC_060933.1	BestRefSeq	exon	140522924	140522998	.	-	.	ID=exon-NM_001329863.2-4;Parent=rna-NM_001329863.2;Dbxref=GeneID:26995,Genbank:NM_001329863.2,HGNC:HGNC:17170,MIM:610727;gbkey=mRNA;gene=TRUB2;product=TruB pseudouridine synthase family member 2%2C transcript variant 4;transcript_id=NM_001329863.2	TRUB2
